timestamp,event,ticket,symbol,type,volume,entry_price,sl_price,tp_price,comment
2026-08-25 16:45:02,ENTRY,1882761208,USDJPY,BUY,0.02,159.291,159.176,159.656,L1_Expansion
2026-08-25 17:10:00,EXIT,1882761208,USDJPY,SELL,0.02,159.273,M15_STRUCTURE_BREAK
2026-08-25 17:19:47,ENTRY,1882816004,USDJPY,BUY,0.02,159.249,159.129,159.609,L1_Expansion
2026-08-25 17:20:02,ENTRY,1882816703,GBPUSD,BUY,0.02,1.36354,1.3623399999999999,1.36714,L1_Expansion
2026-08-25 17:30:00,ENTRY,1882837425,EURUSD,SELL,0.02,1.166,1.1672,1.1623999999999999,L1_Expansion
2026-08-25 17:30:01,EXIT,1882816004,USDJPY,SELL,0.02,159.254,M15_STRUCTURE_BREAK
2026-08-25 17:45:01,EXIT,1882837425,EURUSD,BUY,0.02,1.16631,MACRO_H1_INVALIDATION
2026-08-25 17:45:08,ENTRY,1882876105,EURUSD,BUY,0.02,1.16629,1.16509,1.16989,L1_Expansion
2026-08-25 18:05:01,ENTRY,1882922963,USDJPY,BUY,0.02,159.275,159.095,159.725,L1_Expansion
2026-08-25 19:20:01,ENTRY,1883221158,AUDUSD,BUY,0.02,0.71559,0.7137899999999999,0.7200899999999999,L1_Expansion
2026-08-25 19:40:03,ENTRY,1883301892,GBPUSD,BUY,0.02,1.36414,1.3623399999999999,1.3686399999999999,L1_Expansion
